game_id,start_time,winner,move_count,end_time,duration,first_move,game_outcome
0,1701755096.879812,X,5,1701755101.128279,4.248466968536377,0,corner,win
1,1701755101.1300118,O,8,1701755107.049492,5.919480085372925,3,side,loss
2,1701755107.051252,X,7,1701755111.370971,4.319719076156616,2,corner,win
3,1701755111.3719082,X,7,1701755115.029064,3.657155752182007,7,side,win
4,1701755115.0295491,X,7,1701755119.775403,4.745853900909424,1,side,win
5,1701755119.776211,O,6,1701755121.7225752,1.946364164352417,6,corner,loss
6,1701755121.7233028,O,8,1701755125.247982,3.524679183959961,1,side,loss
7,1701755125.248941,O,8,1701755132.1675038,6.918562889099121,0,corner,loss
8,1701755132.168402,X,7,1701755136.004729,3.836327075958252,7,side,win
9,1701755136.005749,O,8,1701755139.652441,3.6466920375823975,5,side,loss
10,1701755139.654138,draw,9,1701755150.702869,11.048730850219727,5,side,draw
11,1701755150.703649,X,7,1701755155.9385228,5.2348737716674805,0,corner,win
12,1701755155.939486,X,7,1701755162.285129,6.345643043518066,4,middle,win
13,1701755162.285793,draw,9,1701755169.1741061,6.888313055038452,7,side,draw
14,1701755169.1747022,X,5,1701755171.135494,1.960791826248169,6,corner,win
15,1701755171.136037,X,5,1701755172.789411,1.6533739566802979,4,middle,win
16,1701755172.790076,X,5,1701755174.8707168,2.0806407928466797,2,corner,win
17,1701755174.871577,X,9,1701755181.337248,6.465671062469482,4,middle,win
18,1701755181.3377762,X,7,1701755190.5778902,9.240113973617554,0,corner,win
19,1701755190.579745,X,7,1701755196.261881,5.682136058807373,2,corner,win
20,1701755196.262387,X,9,1701755203.852582,7.590194940567017,0,corner,win
21,1701755203.854097,O,6,1701755206.731173,2.8770761489868164,1,side,loss
22,1701755206.731636,X,9,1701755215.644397,8.912760972976685,4,middle,win
23,1701755215.645122,O,8,1701755223.910017,8.264894962310791,3,side,loss
24,1701755223.910859,X,7,1701755228.873347,4.9624879360198975,7,side,win
25,1701755228.873848,X,9,1701755244.495669,15.62182092666626,4,middle,win
26,1701755244.4975061,X,7,1701755251.691783,7.194276809692383,7,side,win
27,1701755251.693343,O,8,1701755254.663626,2.970283031463623,3,side,loss
28,1701755254.6656241,O,6,1701755256.082963,1.4173388481140137,1,side,loss
29,1701755256.083313,X,9,1701755264.920327,8.837013959884644,7,side,win
